latitude,longitude,mean_temperature,uncertainty_std
-88.57216851400727,296.25,-37.33695,1.0978228
-88.57216851400727,298.125,-37.32322,1.0984622
-88.57216851400727,300.0,-37.317047,1.0988084
-88.57216851400727,301.875,-37.310326,1.1073828
-88.57216851400727,303.75,-37.31269,1.1056324
-88.57216851400727,305.625,-37.31259,1.1065606
-88.57216851400727,307.5,-37.31396,1.1095583
-88.57216851400727,309.375,-37.33425,1.107227
-88.57216851400727,311.25,-37.34511,1.1135578
-88.57216851400727,313.125,-37.36396,1.117949
-88.57216851400727,315.0,-37.37556,1.114576
-88.57216851400727,316.875,-37.39478,1.119589
-88.57216851400727,318.75,-37.43103,1.1212174
-88.57216851400727,320.625,-37.452885,1.1295233
-88.57216851400727,322.5,-37.48695,1.131201
-88.57216851400727,324.375,-37.50685,1.1348011
-88.57216851400727,326.25,-37.537262,1.1365641
-88.57216851400727,328.125,-37.584057,1.1441381
-88.57216851400727,330.0,-37.60556,1.1459181
-88.57216851400727,331.875,-37.6424,1.150753
-88.57216851400727,333.75,-37.679684,1.1537368
-88.57216851400727,335.625,-37.712807,1.1603521
-88.57216851400727,337.5,-37.749878,1.1591123
-88.57216851400727,339.375,-37.7757,1.1746267
-88.57216851400727,341.25,-37.811634,1.1816645
-88.57216851400727,343.125,-37.833473,1.1572212
-88.57216851400727,345.0,-37.848278,1.1595231
-88.57216851400727,346.875,-37.8773,1.167188
-88.57216851400727,348.75,-37.890446,1.1660726
-88.57216851400727,350.625,-37.904762,1.169467
-88.57216851400727,352.5,-37.92074,1.1816485
-88.57216851400727,354.375,-37.914448,1.172592
-88.57216851400727,356.25,-37.90777,1.1895947
-88.57216851400727,358.125,-37.90226,1.1973306
-86.72253095466814,0.0,-34.80439,2.3138673
-86.72253095466814,1.875,-34.83732,2.355064
-86.72253095466814,3.75,-34.92152,2.3440318
-86.72253095466814,5.625,-35.0332,2.3336844
-86.72253095466814,7.5,-35.106617,2.3287756
-86.72253095466814,9.375,-35.20525,2.3372946
-86.72253095466814,11.25,-35.23806,2.364964
-86.72253095466814,13.125,-35.3339,2.356077
-86.72253095466814,15.0,-35.35605,2.3838525
-86.72253095466814,16.875,-35.452866,2.367449
-86.72253095466814,18.75,-35.56144,2.3746483
-86.72253095466814,20.625,-35.669292,2.4059277
-86.72253095466814,22.5,-35.830326,2.3452816
-86.72253095466814,24.375,-35.938686,2.3304849
-86.72253095466814,26.25,-36.02568,2.3019218
-86.72253095466814,28.125,-36.167572,2.3000834
-86.72253095466814,30.0,-36.34152,2.2497175
-86.72253095466814,31.875,-36.517555,2.2234333
-86.72253095466814,33.75,-36.656498,2.2302318
-86.72253095466814,35.625,-36.816986,2.2034688
-86.72253095466814,37.5,-36.943626,2.1914515
-86.72253095466814,39.375,-37.134605,2.2005837
-86.72253095466814,41.25,-37.27939,2.1637404
-86.72253095466814,43.125,-37.43734,2.160116
-86.72253095466814,45.0,-37.617535,2.1046298
-86.72253095466814,46.875,-37.788746,2.0950456
-86.72253095466814,48.75,-37.949974,2.0804417
-86.72253095466814,50.625,-38.081852,2.0561075
-86.72253095466814,52.5,-38.199234,2.0390584
-86.72253095466814,54.375,-38.263004,2.0077055
-86.72253095466814,56.25,-38.43984,1.9544872
-86.72253095466814,58.125,-38.543102,1.9409689
-86.72253095466814,60.0,-38.636364,1.9674208
-86.72253095466814,61.875,-38.66466,1.9948648
-86.72253095466814,63.75,-38.764526,1.9108258
-86.72253095466814,65.625,-38.857513,1.857481
-86.72253095466814,67.5,-38.900875,1.8536043
-86.72253095466814,69.375,-38.97439,1.834636
-86.72253095466814,71.25,-38.98945,1.86871
-86.72253095466814,73.125,-38.97398,1.8626549
-86.72253095466814,75.0,-38.98814,1.869221
-86.72253095466814,76.875,-38.996872,1.866008
-86.72253095466814,78.75,-38.98064,1.8640027
-86.72253095466814,80.625,-38.94822,1.9048748
-86.72253095466814,82.5,-38.95947,1.9124241
-86.72253095466814,84.375,-38.933784,1.9124489
-86.72253095466814,86.25,-38.94904,1.9000835
-86.72253095466814,88.125,-38.987064,1.9439182
-86.72253095466814,90.0,-38.96314,1.9455923
-86.72253095466814,91.875,-39.004818,1.9503633
-86.72253095466814,93.75,-39.0489,1.9119453
-86.72253095466814,95.625,-39.072945,1.9020382
-86.72253095466814,97.5,-39.084545,1.9251751
-86.72253095466814,99.375,-39.170895,1.9194068
-86.72253095466814,101.25,-39.192142,1.8909091
-86.72253095466814,103.125,-39.272945,1.9117123
-86.72253095466814,105.0,-39.331303,1.8841159
-86.72253095466814,106.875,-39.427807,1.8502989
-86.72253095466814,108.75,-39.478355,1.829115
-86.72253095466814,110.625,-39.532436,1.8100882
-86.72253095466814,112.5,-39.541615,1.7902381
-86.72253095466814,114.375,-39.59982,1.7523265
-86.72253095466814,116.25,-39.6073,1.7111787
-86.72253095466814,118.125,-39.58437,1.7137508
-86.72253095466814,120.0,-39.62074,1.6950793
-86.72253095466814,121.875,-39.531616,1.6586745
-86.72253095466814,123.75,-39.39484,1.6549999
-86.72253095466814,125.625,-39.277454,1.6833804
-86.72253095466814,127.5,-39.15767,1.645574
-86.72253095466814,129.375,-38.968647,1.6057019
-86.72253095466814,131.25,-38.73744,1.5925062
-86.72253095466814,133.125,-38.525738,1.5642841
-86.72253095466814,135.0,-38.261715,1.5458211
-86.72253095466814,136.875,-38.025425,1.5924056
-86.72253095466814,138.75,-37.65685,1.6940107
-86.72253095466814,140.625,-37.3099,1.6758407
-86.72253095466814,142.5,-36.909916,1.70383
-86.72253095466814,144.375,-36.57935,1.6515021
-86.72253095466814,146.25,-36.16675,1.6520821
-86.72253095466814,148.125,-35.79525,1.6216615
-86.72253095466814,150.0,-35.31812,1.7374887
-86.72253095466814,151.875,-34.826927,1.7501721
-86.72253095466814,153.75,-34.43525,1.7152551
-86.72253095466814,155.625,-33.941772,1.7495996
-86.72253095466814,157.5,-33.451733,1.7450407
-86.72253095466814,159.375,-32.95562,1.7478712
-86.72253095466814,161.25,-32.48054,1.798164
-86.72253095466814,163.125,-31.976694,1.7711434
-86.72253095466814,165.0,-31.479939,1.8154385
-86.72253095466814,166.875,-30.982655,1.8536316
-86.72253095466814,168.75,-30.480896,1.8191047
-86.72253095466814,170.625,-30.045818,1.8413064
-86.72253095466814,172.5,-29.620115,1.8079735
-86.72253095466814,174.375,-29.150467,1.821656
-86.72253095466814,176.25,-28.722908,1.8290658
-86.72253095466814,178.125,-28.262127,1.8525114
-86.72253095466814,180.0,-27.880056,1.8248057
-86.72253095466814,181.875,-27.508572,1.8186436
-86.72253095466814,183.75,-27.13617,1.807095
-86.72253095466814,185.625,-26.807947,1.8047615
-86.72253095466814,187.5,-26.498436,1.8215638
-86.72253095466814,189.375,-26.201502,1.8158607
-86.72253095466814,191.25,-25.960798,1.809785
-86.72253095466814,193.125,-25.751541,1.8189087
-86.72253095466814,195.0,-25.51656,1.8072578
-86.72253095466814,196.875,-25.349276,1.795281
-86.72253095466814,198.75,-25.220427,1.8180274
-86.72253095466814,200.625,-25.112225,1.819521
-86.72253095466814,202.5,-25.03529,1.8190341
-86.72253095466814,204.375,-25.001501,1.8223195
-86.72253095466814,206.25,-25.005564,1.8143971
-86.72253095466814,208.125,-25.01033,1.8169113
-86.72253095466814,210.0,-25.064568,1.8206927
-86.72253095466814,211.875,-25.140701,1.8285784
-86.72253095466814,213.75,-25.27527,1.8155922
-86.72253095466814,215.625,-25.399647,1.8118466
-86.72253095466814,217.5,-25.566912,1.8080027
-86.72253095466814,219.375,-25.750856,1.8170651
-86.72253095466814,221.25,-25.94533,1.8144
-86.72253095466814,223.125,-26.194548,1.8081483
-86.72253095466814,225.0,-26.449236,1.8054514
-86.72253095466814,226.875,-26.71242,1.8112557
-86.72253095466814,228.75,-26.9949,1.8292226
-86.72253095466814,230.625,-27.283455,1.8398788
-86.72253095466814,232.5,-27.575485,1.8435476
-86.72253095466814,234.375,-27.891912,1.8443285
-86.72253095466814,236.25,-28.203102,1.8624364
-86.72253095466814,238.125,-28.491034,1.8626643
-86.72253095466814,240.0,-28.799139,1.877436
