latitude,longitude,mean_precipitation,uncertainty_std
-84.86197029204237,11.25,1.5658645e-06,8.980233e-07
-84.86197029204237,13.125,1.5607632e-06,9.623838e-07
-84.86197029204237,15.0,1.5901257e-06,9.3618405e-07
-84.86197029204237,16.875,1.5728216e-06,9.775619e-07
-84.86197029204237,18.75,1.5907035e-06,1.0298405e-06
-84.86197029204237,20.625,1.6697547e-06,1.0281561e-06
-84.86197029204237,22.5,1.6795487e-06,1.0063056e-06
-84.86197029204237,24.375,1.6968826e-06,1.0657743e-06
-84.86197029204237,26.25,1.7359345e-06,1.0670557e-06
-84.86197029204237,28.125,1.8213686e-06,1.0891083e-06
-84.86197029204237,30.0,1.8419629e-06,1.0319523e-06
-84.86197029204237,31.875,1.8721869e-06,1.0611077e-06
-84.86197029204237,33.75,1.9029915e-06,1.054973e-06
-84.86197029204237,35.625,1.9630895e-06,1.1132963e-06
-84.86197029204237,37.5,1.960463e-06,1.0896881e-06
-84.86197029204237,39.375,2.0010395e-06,1.067322e-06
-84.86197029204237,41.25,1.963197e-06,1.058388e-06
-84.86197029204237,43.125,1.9723832e-06,1.0321385e-06
-84.86197029204237,45.0,1.9648253e-06,1.0103175e-06
-84.86197029204237,46.875,1.9367649e-06,9.846952e-07
-84.86197029204237,48.75,1.8694143e-06,9.654882e-07
-84.86197029204237,50.625,1.7943838e-06,8.7844734e-07
-84.86197029204237,52.5,1.7252252e-06,8.617035e-07
-84.86197029204237,54.375,1.6632902e-06,8.133132e-07
-84.86197029204237,56.25,1.6068343e-06,8.1743434e-07
-84.86197029204237,58.125,1.5389008e-06,7.8914354e-07
-84.86197029204237,60.0,1.4431644e-06,7.1634685e-07
-84.86197029204237,61.875,1.3612147e-06,6.634826e-07
-84.86197029204237,63.75,1.2760137e-06,6.405778e-07
-84.86197029204237,65.625,1.199008e-06,6.383129e-07
-84.86197029204237,67.5,1.1351764e-06,6.2803366e-07
-84.86197029204237,69.375,1.0800755e-06,6.2843344e-07
-84.86197029204237,71.25,1.0414363e-06,6.2847755e-07
-84.86197029204237,73.125,1.0201256e-06,6.3021554e-07
-84.86197029204237,75.0,9.83357e-07,6.2022156e-07
-84.86197029204237,76.875,9.538473e-07,6.0247214e-07
-84.86197029204237,78.75,9.59296e-07,6.0506795e-07
-84.86197029204237,80.625,9.495317e-07,6.311183e-07
-84.86197029204237,82.5,9.5356125e-07,6.10351e-07
-84.86197029204237,84.375,9.638804e-07,6.368945e-07
-84.86197029204237,86.25,9.718482e-07,6.04443e-07
-84.86197029204237,88.125,9.8445e-07,6.119619e-07
-84.86197029204237,90.0,9.654127e-07,6.1968933e-07
-84.86197029204237,91.875,9.666929e-07,6.148798e-07
-84.86197029204237,93.75,9.843066e-07,6.262266e-07
-84.86197029204237,95.625,9.916123e-07,6.263496e-07
-84.86197029204237,97.5,9.794862e-07,6.289882e-07
-84.86197029204237,99.375,9.2908334e-07,5.948004e-07
-84.86197029204237,101.25,8.8963105e-07,5.5830895e-07
-84.86197029204237,103.125,8.5317487e-07,5.402288e-07
-84.86197029204237,105.0,8.1452964e-07,5.4693834e-07
-84.86197029204237,106.875,7.7386414e-07,5.324822e-07
-84.86197029204237,108.75,7.279478e-07,5.1921415e-07
-84.86197029204237,110.625,6.8572047e-07,4.5812035e-07
-84.86197029204237,112.5,6.415963e-07,4.329564e-07
-84.86197029204237,114.375,6.2153487e-07,4.6800713e-07
-84.86197029204237,116.25,5.6090795e-07,4.2366125e-07
-84.86197029204237,118.125,5.567247e-07,3.9221422e-07
-84.86197029204237,120.0,5.541141e-07,3.91198e-07
-84.86197029204237,121.875,5.2540156e-07,3.7933088e-07
-84.86197029204237,123.75,5.4404416e-07,4.139763e-07
-84.86197029204237,125.625,5.981767e-07,4.4236134e-07
-84.86197029204237,127.5,5.820213e-07,3.9173713e-07
-84.86197029204237,129.375,6.1957473e-07,4.3067607e-07
-84.86197029204237,131.25,6.461059e-07,4.386184e-07
-84.86197029204237,133.125,7.0700594e-07,5.1157446e-07
