latitude,longitude,mean_air_pressure,uncertainty_std
-86.72253095466814,219.375,99491.75,355.74445
-86.72253095466814,221.25,99510.62,354.81186
-86.72253095466814,223.125,99530.02,353.84406
-86.72253095466814,225.0,99551.15,352.83487
-86.72253095466814,226.875,99571.68,351.7931
-86.72253095466814,228.75,99592.12,350.70673
-86.72253095466814,230.625,99614.48,349.60178
-86.72253095466814,232.5,99635.7,348.45618
-86.72253095466814,234.375,99658.02,347.3086
-86.72253095466814,236.25,99679.77,346.1354
-86.72253095466814,238.125,99701.84,344.9714
-86.72253095466814,240.0,99723.64,343.79556
-86.72253095466814,241.875,99744.4,342.64838
-86.72253095466814,243.75,99765.63,341.52658
-86.72253095466814,245.625,99785.88,340.43985
-86.72253095466814,247.5,99804.51,339.39008
-86.72253095466814,249.375,99823.0,338.39072
-86.72253095466814,251.25,99839.69,337.466
-86.72253095466814,253.125,99854.82,336.6139
-86.72253095466814,255.0,99868.02,335.843
-86.72253095466814,256.875,99880.78,335.15738
-86.72253095466814,258.75,99891.32,334.5723
-86.72253095466814,260.625,99899.74,334.07553
-86.72253095466814,262.5,99908.08,333.68713
-86.72253095466814,264.375,99912.38,333.39597
-86.72253095466814,266.25,99916.06,333.20016
-86.72253095466814,268.125,99917.93,333.0989
-86.72253095466814,270.0,99918.95,333.09485
-86.72253095466814,271.875,99917.06,333.17828
-86.72253095466814,273.75,99913.78,333.3514
-86.72253095466814,275.625,99910.46,333.59848
-86.72253095466814,277.5,99904.33,333.90402
-86.72253095466814,279.375,99897.88,334.2934
-86.72253095466814,281.25,99891.06,334.73874
-86.72253095466814,283.125,99882.7,335.22653
-86.72253095466814,285.0,99874.54,335.75827
-86.72253095466814,286.875,99866.07,336.34952
-86.72253095466814,288.75,99857.24,336.95972
-86.72253095466814,290.625,99848.5,337.60907
-86.72253095466814,292.5,99839.6,338.28223
-86.72253095466814,294.375,99830.86,338.97092
-86.72253095466814,296.25,99823.3,339.688
-86.72253095466814,298.125,99815.92,340.4303
-86.72253095466814,300.0,99809.74,341.19916
-86.72253095466814,301.875,99803.74,341.96594
-86.72253095466814,303.75,99798.9,342.77054
-86.72253095466814,305.625,99795.4,343.58746
-86.72253095466814,307.5,99792.63,344.41302
-86.72253095466814,309.375,99791.84,345.25906
-86.72253095466814,311.25,99790.7,346.12305
-86.72253095466814,313.125,99791.18,347.00653
-86.72253095466814,315.0,99792.87,347.89438
-86.72253095466814,316.875,99795.59,348.7986
-86.72253095466814,318.75,99800.56,349.72714
-86.72253095466814,320.625,99805.16,350.65567
-86.72253095466814,322.5,99811.92,351.58823
-86.72253095466814,324.375,99819.43,352.53217
-86.72253095466814,326.25,99827.34,353.46802
-86.72253095466814,328.125,99836.44,354.39935
-86.72253095466814,330.0,99845.96,355.32263
-86.72253095466814,331.875,99856.05,356.22455
-86.72253095466814,333.75,99867.86,357.10623
-86.72253095466814,335.625,99879.51,357.96957
-86.72253095466814,337.5,99891.3,358.79312
-86.72253095466814,339.375,99903.11,359.57767
-86.72253095466814,341.25,99915.69,360.3194
-86.72253095466814,343.125,99928.06,361.0148
-86.72253095466814,345.0,99941.34,361.66656
-86.72253095466814,346.875,99952.36,362.24408
-86.72253095466814,348.75,99964.14,362.76974
-86.72253095466814,350.625,99975.36,363.23193
-86.72253095466814,352.5,99985.72,363.6451
-86.72253095466814,354.375,99995.93,363.99222
-86.72253095466814,356.25,100005.19,364.28577
-86.72253095466814,358.125,100013.82,364.53323
-84.86197029204237,0.0,99984.12,382.72638
-84.86197029204237,1.875,99999.26,382.75537
-84.86197029204237,3.75,100011.64,382.66904
-84.86197029204237,5.625,100023.06,382.53012
-84.86197029204237,7.5,100033.18,382.3583
-84.86197029204237,9.375,100039.7,382.1835
